ID_ADHERENT;ID_SECTEUR;ID_RECETTE;ID_ACTIVITE;ID_ADH_DELEGUE;IS_DELEGUE;IS_IMPOSABLE;ID_FISCAL;NOM_PRENOM_RS;PERS_PHYS;CODE_TELEPHONE;NUM_FAX;NUM_TEL;EMAIL;FORME_JURIDIQUE;NUM_REG_COM;VILLE_REG_COM;ADR_IMPOSITION;NOM_RESPONSABLE;QUALITE_RESP;CODE_CIN_ADH;NUM_CIN_ADHERENT;ADHERENT_ESERV;DATE_ADHESION;DELETED;DATE_MAJ;USER_MAJ;NUM_PATENTE;PROF;NUM_CNSS;CONSULTATION;SAISIE;VALIDATION;DEPOT;DATE_DELEGATION;ACTIF;DATE_MAJ_DELEG;USER_MAJ_DELEG;DATE_TRANSFERT_METIER;NOM;PRENOM
2.0023E+12;NULL;129;NULL;NULL;0;NULL;12;bouyebra;1;NULL;NULL;NULL;NULL;11;;NULL;ADRESSE;NULL;NULL;;2371179;NULL;NULL;0;NULL;NULL;NULL;NULL;76310412;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;abdelilah;abdelilah
2.0023E+12;NULL;129;NULL;NULL;0;NULL;12;bouyebra;1;NULL;NULL;NULL;NULL;11;;NULL;ADRESSE;NULL;NULL;;2371179;NULL;NULL;0;NULL;NULL;NULL;NULL;76310412;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;abdelilah;abdelilah
222222225;NULL;129;NULL;NULL;0;NULL;12;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ADRESSE;NULL;NULL;22;2365260;NULL;NULL;0;NULL;NULL;NULL;NULL;51508731;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;test;bouyebra
696300;1;85;1213;NULL;0;1;17;NULL;NULL;NULL;;;;;;NULL;;NULL;NULL;;NULL;1;08/12/2017;0;2017-12-08 16:15:32.033;superadmin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17/10/2018;test;NULL
696301;1;85;1213;NULL;1;1;18;NULL;NULL;212;;;;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;1;09/06/2014;0;2014-06-09 14:58:24.75;superadmin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17/10/2018;test;NULL
506926778;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926780;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926782;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926784;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926786;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926788;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926800;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926802;NULL;129;1213;NULL;0;NULL;123;test;11;NULL;NULL;NULL;NULL;a;123;e;11;NULL;NULL;a;1457;NULL;NULL;0;NULL;NULL;123;NULL;123;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;
506926740;NULL;129;1213;NULL;0;NULL;123;test test;1;NULL;NULL;NULL;NULL;PP;test;;Adresse imposition;NULL;NULL;C;5222;NULL;NULL;0;NULL;NULL;5665;NULL;test;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;17/10/2018;test;test
100810;NULL;85;NULL;NULL;NULL;1;810;Societe Test 810;NULL;;;;;;;;;NULL;NULL;A;123456;NULL;NULL;0;2010-03-13 13:38:15.0;test;NULL;NULL;NULL;1;1;1;1;01/02/2010;1;NULL;NULL;NULL;NULL;NULL
696266;NULL;100;1213;NULL;0;1;1000;NULL;0;NULL;NULL;NULL;NULL;;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;17/10/2018;test;
50100;NULL;1;1213;NULL;0;1;1000;NULL;NULL;;;;;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;NULL;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;
2004000;1;1;1213;NULL;0;1;1001;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;;NULL;NULL;NULL;NULL;1;09/12/2008;0;NULL;09/12/2008;NULL;NULL;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;Mohc
50101;NULL;90;1213;NULL;0;1;1001;NULL;NULL;0e364c26;666666;4555554;m.jaouhari@tax.gov.ma;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;fonc 1;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;Mohc
50102;NULL;1;1213;NULL;0;1;1002;NULL;NULL;fdfd7d84;5217555;22333;m.jaouhari@tax.gov.ma;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;DG;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;aaa
2004004;1;1;1213;NULL;0;1;1004;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;09/12/2008;0;NULL;09/12/2008;NULL;NULL;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;NULL
2004006;1;1;1213;NULL;0;1;1006;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;09/12/2008;0;NULL;09/12/2008;NULL;NULL;NULL;1;1;1;1;NULL;1;NULL;NULL;17/10/2018;test;NULL
50107;NULL;1;1213;NULL;0;1;1007;NULL;NULL;b08c890a;51655664;1545551115;m.jaouhari@tax.gov.ma;;NULL;NULL;;NULL;NULL;A;122555;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;DG;NULL;1;1;1;1;NULL;0;NULL;NULL;17/10/2018;test;kamal
50108;NULL;1;1213;NULL;0;1;1008;NULL;NULL;ee7146dc;62626214;651662662;m.jaouhari@tax.gov.ma;;NULL;NULL;;NULL;NULL;a;546665;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;DG;NULL;1;1;1;1;NULL;0;NULL;NULL;17/10/2018;test;fahd
50109;NULL;1;1213;NULL;0;1;1009;NULL;NULL;90e804ec;6566565;1544646;m.jaouhari@tax.gov.ma;NULL;NULL;NULL;NULL;NULL;NULL;B;15156454;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;DG;NULL;1;1;1;1;NULL;0;NULL;NULL;17/10/2018;test;NULL
50110;NULL;1;1213;NULL;0;1;1010;NULL;NULL;78934603;535439794;535524747;belmekki.abdelmajid@gmail.com;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;0;2010-03-13 13:38:15.0;superadmin;NULL;COGERANT;NULL;1;1;0;1;NULL;1;NULL;NULL;17/10/2018;test;ABDELMAJID
50111;NULL;1;1213;NULL;0;1;1011;NULL;NULL;4eed3ea2;537279358;537279343;o.elalami@tax.gov.ma;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;0;2010-03-13 13:38:15.0;;NULL;cogerant;NULL;1;1;0;1;NULL;1;NULL;NULL;17/10/2018;test;AMINA
50112;NULL;1;1213;NULL;0;1;1012;NULL;NULL;3ee3b038;537279358;537279121;k.ragued@tax.gov.ma;;NULL;NULL;;NULL;NULL;;NULL;1;01/02/2010;1;2010-03-13 13:38:15.0;;NULL;cogerant;NULL;1;1;0;1;NULL;1;NULL;NULL;17/10/2018;test;KHADIJA
50113;NULL;90;1213;NULL;0;1;1013;NULL;NULL;76cd2af4;537279358;537279374;s.kassete@tax.gov.ma;;NULL;NULL;;NULL;NULL;a;123456;1;01/02/2010;0;2010-03-13 13:38:15.0;;NULL;gerante;NULL;1;1;0;1;NULL;0;NULL;NULL;17/10/2018;test;saadia
50114;NULL;1;1213;NULL;0;1;1014;NULL;NULL;f5591d0f;537279358;537279374;s.kassete@tax.gov.ma;;NULL;NULL;;NULL;PDG;A;789456;1;01/02/2010;0;2010-03-13 13:38:15.0;;NULL;Responsable Comptabilité;NULL;1;1;0;1;NULL;1;NULL;NULL;17/10/2018;test;SAADIA
